Rk,Team,Conf,NetRtg,off,def,tempo,off_pct,def_pct,tempo_rk,off_poss_length,NCSOS
1,Michigan,B10,37.63,125.2,87.6,73.2,0.733,0,0.933,14.8,14.08
2,Gonzaga,WCC,32.99,125.2,92.2,71.1,0.733,0.267,0.6,15.7,9.88
3,Iowa St.,B12,32.81,123.6,90.8,70.1,0.467,0.067,0.467,15.7,0.59
4,Duke,ACC,32.57,124,91.5,67.7,0.533,0.133,0.267,15.4,3.9
5,Arizona,B12,32.37,125,92.6,71.6,0.667,0.333,0.8,15.8,8.99
6,Purdue,B10,29.97,127.4,97.5,65.5,1,0.733,0.133,18.1,7.43
7,Connecticut,BE,28.76,121.5,92.7,65.8,0.4,0.4,0.2,18.4,7.38
8,Houston,B12,28.19,120,91.8,63.9,0.067,0.2,0,18.1,-0.84
9,BYU,B12,28.04,124.3,96.3,69.6,0.6,0.467,0.4,15.4,8.59
10,Louisville,ACC,27.74,127.1,99.3,71.8,0.933,0.933,0.867,14.7,0.24
11,Vanderbilt,SEC,27.38,125.8,98.4,71.3,0.867,0.8,0.667,15.5,0
16,St. John's,BE,24.31,120.7,96.4,71.5,0.2,0.533,0.733,15,8.36
19,Kentucky,SEC,22.8,119.2,96.4,69.4,0,0.533,0.333,15.2,0.8
20,Iowa,B10,22.68,120.1,97.4,63.9,0.133,0.667,0,19.2,-2.94
22,Georgia,SEC,21.79,120.9,99.2,74.8,0.333,0.867,1,14.2,-4.28
25,Arkansas,SEC,21.38,120.8,99.4,70.8,0.267,1,0.533,15.3,4.05