,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
74,Yale,122.061,110.043,0.767,9–1,9,10,58.3,53.6,41.2,33.7,13.9,16.9,35.7,29.5,67,54.4,53.8,44,35.6,9.7,9,57.1,46.2,33.6,41.6,66.76,77.465,79.674,1.956,"2,026",0,0,10.204,,80.8,68.6,1.269,1.102,10.837,Yale
75,Memphis,109.708,99.038,0.764,4–7,4,11,47.1,49.1,34.9,43.5,19.4,18.6,36.9,35.2,71.4,47.7,49.2,30.7,32.6,12.2,9.4,51.6,60.7,34.6,44.3,69.661,77.93,82.353,2.23,"2,026",0,0,43.63,,70.8,71.4,1.027,1.056,33.143,Memphis
76,Belmont,114.899,103.804,0.763,11–1,11,12,61.6,44.9,33.3,28.4,19.7,17.9,28.9,28,72.4,61.3,43.7,41.4,30.7,10.5,8.7,60.9,50.4,44,50.5,71.103,77.712,80.798,1.564,"2,026",0,0,3.988,,66.8,77.9,1.168,0.965,8.943,Belmont
77,Notre Dame,113.775,102.839,0.762,9–4,9,13,55,49.1,32.9,33.6,17.7,15.7,33.3,23.7,66.5,53.7,48.4,37.9,33.3,6.2,8.3,48.3,53.5,41.6,44.2,66.568,78.017,81.047,1.543,"2,026",0,0,64.315,,71.1,72.1,1.142,1.018,22.337,Notre Dame
78,Nevada,116.285,105.237,0.759,9–3,9,12,49,51,48.6,41.1,13.1,18.2,33.6,29.6,67.2,46.1,50.7,37.3,34.3,13.1,9.4,57.9,59,29.4,43.3,66.912,76.736,79.948,1.949,"2,026",0,0,17.861,,74.8,71.3,1.144,1.066,16.304,Nevada
79,George Washington,118.127,106.941,0.758,8–4,8,12,55.8,51.5,45.3,33.4,17.5,18.3,35.7,27,73,58.2,55,35.1,31.3,9.8,11.1,54.6,56.9,42.4,42.6,71.705,77.96,81.253,2.276,"2,026",0,0,19.505,,73.3,72.3,1.19,1.036,14.772,George Washington
80,New Mexico,112.002,101.597,0.754,9–2,9,11,53.6,48.6,38.5,30.2,16.7,20.4,29.3,29.3,71.4,57.5,51.3,32.7,30.8,9.7,8.2,52.5,51.3,45.4,52.5,70.655,77.452,81.062,1.588,"2,026",0,0,15.072,,77.5,74,1.129,0.988,16.568,New Mexico
81,Northern Iowa,104.953,95.313,0.752,8–2,8,10,52.3,44.3,29.6,30.4,14.2,20.4,21.2,27.5,64.7,52.6,46.4,34.6,27.4,12.4,9.2,65.2,49.3,41.7,39.9,63.755,77.605,79.654,2.318,"2,026",0,0,19.37,,66.3,68.3,1.052,0.906,10.008,Northern Iowa
82,Tulsa,120.395,109.385,0.751,9–1,9,10,58.2,51.5,47.1,32.4,15.5,16.5,31.8,25.6,69.1,55,49.4,40.9,36.3,5.6,7.5,61.7,55.3,50.1,40.8,68.187,77.666,80.362,2.015,"2,026",0,0,3.205,,78.8,74.2,1.246,1.058,14.239,Tulsa
83,Mississippi,112.566,102.39,0.748,7–5,7,12,51.6,49.5,39,36.2,16.2,19.8,31,30.7,67.4,51.4,48.1,34.5,34.4,15.7,8.6,56.2,55.3,36.8,41.5,66.406,77.823,80.641,2.078,"2,026",0,0,43.118,,73.1,67.2,1.102,1.016,22.326,Mississippi
84,Colorado,118.634,108.049,0.746,10–2,10,12,57,51.5,42.5,32.1,14.6,15.8,33.4,27.7,70.4,56.7,49,38.4,37.3,10,7.7,56.5,43.1,30.4,35.7,69.903,78.184,82.548,1.059,"2,026",0,0,35.794,,75.2,72.2,1.214,1.078,13.648,Colorado
85,Cincinnati,102.813,93.663,0.745,7–5,7,12,49.6,45.3,36.5,32.1,18.4,20.7,30.2,23.5,73.4,52.2,45.8,31.2,29.8,15.8,7.9,67.2,56.6,48.2,41.6,71.323,78.619,83.15,1.873,"2,026",0,0,63.652,,63.7,71.3,1.018,0.896,18.366,Cincinnati
86,Arizona St.,115.916,105.617,0.745,9–4,9,13,53.4,51.3,44.7,37,15.5,20,28.5,31.6,70.8,53.2,52.6,35.9,33.2,12,9.5,50.9,52.4,39.1,45.4,70.037,78.953,83.383,1.903,"2,026",0,0,17.565,,74.9,75.5,1.129,1.062,24.618,Arizona St.
87,Minnesota,111.382,101.768,0.738,7–5,7,12,53.5,49.2,47.5,33,17.6,18.2,33.2,26.7,65.4,55.5,47.2,34,34.9,9.5,11.2,73.5,55.9,42.3,37.7,64.153,77.752,79.779,2.022,"2,026",0,0,14.758,,68.4,68.8,1.116,1.007,22.46,Minnesota
88,San Francisco,114.568,104.888,0.734,7–5,7,12,54,47.7,42.5,34.1,16.4,14.1,33.3,31.8,66.2,54.3,47.4,35.8,32.2,9.7,8.5,57.7,52.5,48.1,36.5,65.74,77.903,80.912,1.817,"2,026",0,0,29.616,,69.2,67.2,1.135,1.065,17.676,San Francisco
89,Colorado St.,121.308,111.162,0.732,8–3,8,11,63,54.4,37.7,29.1,17.8,13.8,31.4,29.1,64.5,59.7,56.7,44.2,34.5,5,7.6,64.1,47.1,49.7,46.1,62.934,77.771,81.249,1.774,"2,026",0,0,28.627,,81,65.4,1.264,1.144,15.772,Colorado St.
90,George Mason,111.208,102.039,0.729,10–1,10,11,53.8,47.6,50.1,28.2,16.2,18.2,34,27.1,67.4,52.7,47.2,37.2,32,12,9.4,52.8,52.4,36.2,45.4,66.525,77.838,80.606,2.325,"2,026",0,0,26.261,,74.5,77.3,1.179,0.986,8.246,George Mason
91,UC San Diego,113.506,104.496,0.721,9–2,9,11,58.1,49,32.1,28.2,15,17.2,26.7,29.7,69.2,58.7,49.1,38.3,32.7,6.2,9.8,54,50.9,42.9,44.1,70.365,77.839,80.37,1.746,"2,026",0,0,0.2,,65.7,68.1,1.164,1.027,12.466,UC San Diego
92,Providence,119.201,109.869,0.719,7–6,7,13,55.6,50.7,34,32.1,15.1,15.3,30.3,31.7,73.9,57.8,47,35.1,37.4,12.3,6.8,53.6,55.6,42.5,40.2,73.085,77.857,80.118,1.727,"2,026",0,0,44.21,,79.1,73.2,1.182,1.102,20.348,Providence
93,Wichita St.,111.798,103.688,0.704,7–5,7,12,50.4,46.8,38.3,32.5,14.4,16.9,38.9,28.4,65.9,49.4,47.2,34.9,30.7,10.2,6,44.4,49.8,35.3,36.7,65.969,76.323,81.007,2.178,"2,026",0,0,8.096,,68.2,70.3,1.15,0.996,16.422,Wichita St.
94,Hawaii,104.868,97.686,0.693,8–2,8,10,52,42.4,50.2,38.3,19.9,16.9,32.4,22.9,72.4,55.4,42.9,31,27.6,8.3,7.8,49.8,38.9,38.2,31.2,70.667,78.424,81.608,2.518,"2,026",0,0,9.572,,71.1,64.4,1.076,0.877,7.67,Hawaii
95,Pittsburgh,112.734,105.034,0.693,7–6,7,13,53.3,49,32.9,33.6,17.6,16.8,35.5,27.9,65.4,51.8,48,36.9,33.8,11.1,8.7,50.9,51.8,41.5,37.8,65.081,77.171,80.112,1.638,"2,026",0,0,56.327,,68.6,77,1.131,1.036,18.048,Pittsburgh
96,Wyoming,113.463,105.725,0.693,8–3,8,11,54.7,48.3,37.8,56.7,16.2,18.8,36.1,25,72.2,57,50.6,34.2,29.7,7.5,7.5,53,35.6,39.5,38.3,69.714,77.051,79.881,1.61,"2,026",0,0,10.428,,71.2,71.7,1.181,1.002,11.673,Wyoming
97,Liberty,112.858,105.185,0.692,5–3,5,8,59.4,51.1,23.6,30.5,14.2,18.1,19.4,32.2,65,59.6,50.7,39.5,34.5,9.4,11.5,58.3,49.7,47.2,37.7,65.335,75.42,79.029,2.305,"2,026",0,0,2.783,,59,75,1.136,1.073,19.206,Liberty
98,Bowling Green,107.2,100.054,0.689,7–3,7,10,52,47.1,36.5,43.2,17.5,22.6,31.6,27.1,70.4,52.3,50.5,34.4,28.4,11.1,9.8,54.2,53.5,36.3,43.5,69.001,78.136,80.871,2.491,"2,026",0,0,14.095,,74.1,70.9,1.102,0.932,12.422,Bowling Green
99,South Carolina,109.918,102.591,0.689,7–4,7,11,52.2,46.3,36.1,36.2,14.4,14.1,28.4,26.6,67.9,59.1,49.1,29.9,26.5,5.8,7.4,56,48.7,48.2,30.3,67.338,77.769,81.123,2.018,"2,026",0,0,55.53,,77.4,65,1.129,0.982,14.088,South Carolina
100,Richmond,111.462,104.055,0.688,9–2,9,11,56,49.5,41.6,34.3,16.7,19,29.1,26.3,71.3,56.4,52.3,37,30.7,8.3,8.2,56.5,44.7,43.5,46,69.904,76.838,80.712,2.173,"2,026",0,0,4.903,,73.6,66.5,1.161,0.987,9.652,Richmond
101,High Point,117.769,110.07,0.685,8–3,8,11,55.4,51.4,40.6,39.3,12.6,21.6,31.1,33.3,70.9,57.1,52.2,35.4,33.5,7.7,9.4,52.9,57.2,43.5,42.4,71.363,76.217,79.468,2.632,"2,026",0,0,16.655,,73.3,72.9,1.215,1.046,6.928,High Point
102,Murray St.,116.613,109.206,0.68,10–3,10,13,56.8,49.1,41.6,30.5,16.6,16.4,36.5,32.7,73.5,57.2,49.2,37.6,32.4,7.6,7.7,53.5,42.2,46.3,25.3,72.952,77.88,81.387,1.82,"2,026",0,0,38.583,,75.7,73.2,1.215,1.062,13.749,Murray St.
103,Xavier,110.428,104.075,0.664,9–4,9,13,50.1,51.8,29.5,33.6,13.4,17.8,27.8,26.4,71.6,47.2,52.9,35.9,33.1,10.1,12.3,68.8,64.9,43.2,33.6,71.019,78.6,81.565,2.289,"2,026",0,0,31.672,,67.8,66.1,1.073,1.032,20.069,Xavier
104,William & Mary,110.237,103.902,0.664,7–3,7,10,55.2,48.6,42.2,37.5,19.7,20.9,26.6,33.3,77.6,60.3,55.8,32.7,26.6,10.8,12.3,65.7,54,45.3,45.1,75.726,77.297,79.043,2.444,"2,026",0,0,0.2,,76.7,69.3,1.068,1.021,22.287,William & Mary
105,UAB,111.172,104.796,0.664,8–4,8,12,50.2,49.3,36.4,30.5,13.4,16.8,36.9,23.5,70.9,53.9,49.2,28.1,33,9.4,8.1,49.9,53.6,31.4,39.5,70.375,76.439,79.601,1.896,"2,026",0,0,29.678,,69.8,75.8,1.141,1.01,12.97,UAB
106,Mississippi St.,111.164,104.8,0.663,7–5,7,12,51.6,48.3,32.5,26.5,16.1,14.3,29.8,30.6,71.4,53.5,49.3,32.6,31.3,10.9,11.9,45.4,50.9,40.7,40.1,69.715,77.543,81.907,2.233,"2,026",0,0,47.803,,68.2,74.5,1.081,1.063,19.773,Mississippi St.
107,Miami OH,114.891,108.472,0.66,10–0,10,10,59.5,49.9,35.9,34.5,14.9,18.6,24.2,24.6,71.2,58.7,50.4,40.4,32.7,7.5,8.3,54.5,50.2,44.3,38,71.767,77.201,80.337,1.742,"2,026",0,0,10.285,,77.7,75.5,1.198,1.012,5.785,Miami OH
108,Davidson,111.325,105.173,0.658,7–3,7,10,55.7,49.9,39.2,40.5,16.6,17.7,29.1,29.1,65,54.8,52,38,30.6,9.1,9,53.9,39.1,41.6,34.3,65.392,77.663,80.393,1.403,"2,026",0,0,26.02,,66.3,66.7,1.124,1.04,13.399,Davidson
109,Seattle,107.387,101.528,0.656,8–2,8,10,56.9,47.7,36.6,33.7,18.7,21.9,27,33.6,70.2,57.3,48.5,37.4,31,15.9,6.8,50.5,49.8,36.6,37.6,69.406,77.175,81.06,2.277,"2,026",0,0,10.224,,69,74.7,1.097,0.989,10.657,Seattle
110,St. Thomas,111.408,105.55,0.65,8–4,8,12,56.7,52.8,31.1,29.9,14.1,19.7,18.4,27.4,70.3,63.2,54.3,32.5,33.7,7.9,8.2,55.6,57.3,45.1,40.9,69.437,77.17,79.321,1.12,"2,026",0,0,19.088,,73.8,76.2,1.113,1.048,13.008,St. Thomas
111,Cal Baptist,108.341,102.811,0.646,10–3,10,13,48.4,48.3,36.4,37,17.8,17.3,40.6,26.4,69.2,48.8,49.1,31.6,31.3,6.4,10.5,44.1,41.3,32.1,35,67.917,76.527,81.507,2.097,"2,026",0,0,2.752,,72.1,74.1,1.09,1.021,15.182,Cal Baptist
112,Georgetown,112.338,106.62,0.646,8–4,8,12,48.8,49.2,44.3,37.8,12.7,17.2,31.1,28.9,69.1,51.4,48.9,29.2,33.1,13.7,8.9,60.1,50.8,34.6,39.7,68.516,78.14,81.378,1.697,"2,026",0,0,54.442,,72.5,75.5,1.109,1.053,19.358,Georgetown
113,Florida St.,109.521,104.075,0.643,6–6,6,12,50.3,51.5,33.2,40.8,16.6,23.7,33.8,34.2,77.7,54.2,51.8,31.3,34.1,11.8,11.5,55.5,58.3,53.4,41.1,75.059,78.278,81.045,2.056,"2,026",0,0,27.225,,71,72.1,1.092,1.025,23.791,Florida St.
114,Utah,115.285,109.752,0.638,8–4,8,12,55.6,51.3,39.1,31.2,16.5,15.1,29.8,31.9,70.9,55.9,51.1,36.8,34.5,9.6,9.6,53.7,41.3,41.2,33.3,69.719,77.319,80.457,1.825,"2,026",0,0,16.8,,73.9,66.9,1.15,1.1,12.417,Utah
115,Hofstra,110.19,105.193,0.63,7–4,7,11,52.4,48.1,32.2,36.8,17.6,17.6,33.5,32.1,67.7,50.5,46.1,36.8,34.1,10.7,11.3,51,56.7,38.8,39.5,67.417,77.478,81.083,1.876,"2,026",0,0,0.2,,75.6,73.3,1.104,1.043,19.437,Hofstra
116,St. Bonaventure,111.853,106.837,0.629,10–2,10,12,52.5,51,30.9,32,18.2,18.8,38.2,30.8,68,51.4,51.9,36.7,33.1,13.1,7.8,55.7,52.9,31,37.8,68.314,76.279,80.288,2.143,"2,026",0,0,11.774,,76,73.2,1.134,1.046,12.218,St. Bonaventure
117,Rhode Island,106.814,102.067,0.628,8–4,8,12,52.7,48.2,40.5,38.1,19.5,22.4,34.5,33.6,67.1,57.3,47.3,31.1,33,10.9,8.5,45.9,53.5,42.6,40.7,67.905,76.438,79.94,2.535,"2,026",0,0,9.361,,74.8,70,1.108,0.991,12.729,Rhode Island
118,Bradley,107.826,103.202,0.623,8–4,8,12,51.7,50.5,36.1,40.5,15.2,22.5,27,29.6,69.1,51.2,49.7,34.9,34.3,11.5,10.5,50.2,53.3,42.8,41,68.986,76.515,81.488,1.938,"2,026",0,0,0.788,,74.5,68.7,1.093,0.996,10.873,Bradley
119,Florida Atlantic,113.728,109.087,0.618,6–4,6,10,53.4,52.8,34,35.8,17.2,17.1,33.3,28.8,68.7,52.5,51.4,36.4,36.8,15.4,8.1,50.2,47.3,41,36.5,69.189,77.96,81.403,1.156,"2,026",0,0,39.856,,73.2,72.7,1.14,1.083,17.574,Florida Atlantic
120,Maryland,111.167,106.833,0.612,6–6,6,12,48.8,54.9,48.6,30.6,19.6,18.9,34.9,31.7,71.4,47.1,52.8,34,38.5,7.1,14.3,46.9,63.5,43.4,42.3,69.074,77.071,80.392,1.88,"2,026",0,0,52.909,,75,72.8,1.069,1.115,33.516,Maryland
121,New Mexico St.,109.823,105.668,0.609,5–3,5,8,49.1,46.3,35.4,46.5,15.9,17.4,34.1,28.3,68.2,50.2,46.4,31.5,30.8,10.5,6.9,51.5,45.6,38.7,44.9,67.703,76.91,80.339,2.407,"2,026",0,0,3.925,,73.8,77.2,1.084,1.022,10.942,New Mexico St.
122,Kent St.,112.473,108.219,0.609,8–2,8,10,55.9,53,47.7,38.1,19.4,18.1,35.4,28.8,75.4,55.1,50.6,37.9,37.3,11,9.2,59.6,59.4,46.7,44.4,73.808,76.164,79.656,1.997,"2,026",0,0,7.973,,74.2,71.7,1.163,1.074,7.496,Kent St.
123,Columbia,109.806,105.833,0.604,8–3,8,11,54.8,47.1,27.9,34.4,20.6,14.9,38.7,26.2,67.8,53.1,47,38.4,31.7,9.6,9.4,55.2,53.5,38.3,34.1,68.134,77.96,80.4,1.631,"2,026",0,0,8.11,,73.6,67.7,1.127,1.012,15.302,Columbia
124,UC Irvine,101.169,97.617,0.601,6–5,6,11,46.1,44.7,41,30.8,17.2,18.7,27.2,34.1,69.7,45.3,42,32,33.2,15.8,6.9,58.5,53.2,30.7,34.7,69.081,78.236,81.487,1.349,"2,026",0,0,19.596,,65.6,64,0.97,0.965,13.026,UC Irvine
125,UNC Wilmington,112.23,108.365,0.599,9–2,9,11,51.1,46.1,42.3,26.2,15.9,16.2,40.4,28.7,65.8,50.5,46.1,34.7,30.7,5.1,8.4,50.9,47.8,38.1,44.9,64.42,78.92,80.854,2.665,"2,026",0,0,8.297,,70.6,76.3,1.16,1,5.992,UNC Wilmington
126,DePaul,105.632,102.016,0.599,8–5,8,13,51.2,48.1,42.5,36.1,17.2,20.2,29,31.5,70,51.9,47,33.4,33.6,8.6,11.4,64.1,56.2,39,31.9,68.643,78.084,81.219,2.009,"2,026",0,0,44.537,,69.3,70.7,1.068,0.986,19.381,DePaul
127,Youngstown St.,106.932,103.534,0.592,6–5,6,11,55.6,48.6,33,38.3,21.9,19.5,30.8,33.9,68.9,57.3,51,35.9,28.6,8.8,8.4,51.2,44.3,49.3,29.9,67.83,76.643,79.926,2.569,"2,026",0,0,4.029,,69.7,73.6,1.068,1.034,14.067,Youngstown St.
128,Penn St.,113.826,110.251,0.591,8–4,8,12,54,55.9,34.8,24.1,13.3,19.9,29.4,29.3,68.3,55.6,55.2,34,37.8,5.6,7.5,47.4,58.7,34.2,43.3,68.683,78.826,81.694,0.914,"2,026",0,0,54.694,,71.8,77.1,1.145,1.098,15.625,Penn St.
129,Stephen F. Austin,108.585,105.184,0.59,7–2,7,9,52.9,44.8,28.4,41.8,14.7,16.9,32.3,30.3,67.9,50.6,45.5,37.6,28.8,12.7,10.1,49.8,44.3,39.7,29.2,67.228,75.522,78.395,2.237,"2,026",0,0,0.2,,62,73.7,1.125,0.986,7.546,Stephen F. Austin
130,Middle Tennessee,108.085,104.807,0.588,4–4,4,8,48.1,50.2,29.2,36.4,16.6,14.3,30.8,31.1,69.9,49.1,53.7,31,29.2,12.1,8.5,47.6,48.9,40.6,35.2,67.159,78.265,81.29,2.095,"2,026",0,0,21.029,,70.1,74.6,1.027,1.108,25.656,Middle Tennessee
131,UNLV,111.418,108.118,0.586,5–6,5,11,51.4,51.4,46.6,45,17.3,19.1,32.4,34.2,74.7,55.8,53.6,29,32,10.8,9.2,56.2,58.2,35.9,40,73.467,77.332,80.761,1.692,"2,026",0,0,46.173,,68.6,71.9,1.087,1.093,17.265,UNLV
132,North Dakota St.,108.469,105.296,0.585,7–4,7,11,49.1,50.9,33.4,31.8,16.2,20.3,35.4,29.8,70.6,49.1,50.8,32.7,34.1,8,9.6,52.7,54.5,43.7,35.3,69.226,76.177,79.637,1.767,"2,026",0,0,0.2,,70.5,74.5,1.087,1.025,11.008,North Dakota St.
133,Troy,109.534,106.428,0.582,6–5,6,11,50.9,51.1,39.8,33.8,18.3,17.7,32,33.1,71,51.9,50.7,33.1,34.5,7,12.9,52.3,52.3,44.6,36,68.572,77.697,80.43,1.888,"2,026",0,0,0.2,,73.7,69,1.074,1.079,20.216,Troy
134,Pacific,108.806,105.757,0.581,7–4,7,11,53.1,48.6,33.9,39.7,20.6,15.6,33.9,25.7,67.5,55.4,49.2,32.7,31.9,8.2,11.3,50.5,47.1,36.2,40.5,66.398,77.005,80.558,2.517,"2,026",0,0,12.174,,77.2,68.7,1.084,1.038,19.067,Pacific
135,Loyola Marymount,103.68,101.001,0.575,7–4,7,11,52.9,45.9,28.6,32,18.9,18.5,29.7,31.1,69.2,51.3,46.2,36.6,30.4,11.5,7.3,54.6,51.1,45.6,36.3,67.946,78.535,81.407,1.916,"2,026",0,0,30.533,,62.6,71.3,1.051,0.974,10.005,Loyola Marymount
136,Quinnipiac,107.244,104.524,0.573,8–4,8,12,49.3,49.4,30.2,29.8,16.3,18.1,32.5,36,72.1,48.3,48.4,34.3,34.3,13.1,11.5,46.1,50.8,32.7,33.5,71.997,77.838,80.643,1.326,"2,026",0,0,17.455,,71.2,68.1,1.054,1.043,19.314,Quinnipiac
137,Western Kentucky,109.352,106.603,0.573,5–4,5,9,47.8,51.1,43,40.9,14.6,17.7,31.1,28.6,74,48,49.2,31.6,35.6,8.1,13.9,46.7,62.7,33.6,46,71.994,76.977,81.021,2.177,"2,026",0,0,9.218,,73.3,69.8,1.08,1.063,18.612,Western Kentucky
138,Southern Illinois,108.11,105.416,0.572,5–7,5,12,52.3,50,35.4,31.2,18,18,32.5,30,71.6,56.3,50.6,27.5,32.8,8.3,6.7,48.3,53.9,26.4,41.9,71.226,77.096,80.473,1.862,"2,026",0,0,26.093,,68,70.5,1.072,1.041,19.305,Southern Illinois
139,Elon,116.736,114.038,0.567,6–5,6,11,54.7,54.4,34.3,38.1,16.1,16.6,37.3,33.8,69.2,56.6,56,35,35,11.2,10.8,52.2,57.4,44.6,47.4,67.919,77.786,80.319,2.044,"2,026",0,0,7.693,,71.9,68.7,1.185,1.15,14.961,Elon
140,Winthrop,116.488,113.931,0.563,5–6,5,11,53.2,53.7,38.6,36.6,13.6,17.2,33.2,30.1,71.4,52.1,53.2,36.3,36.2,9.1,9.5,52.5,47,46,43.6,69.333,76.721,80.648,2.785,"2,026",0,0,19.319,,74.1,73.9,1.19,1.115,18.871,Winthrop
141,Oakland,116.045,113.579,0.561,5–7,5,12,52.2,56.6,34.4,26.5,14.5,14,26.5,33.5,72.8,51.5,59.1,35.7,35.2,8.1,14.1,55.2,65.8,33.5,40.5,72.643,76.701,79.022,2.52,"2,026",0,0,0.2,,73.8,70.5,1.106,1.196,37.862,Oakland
142,Wright St.,108.473,106.195,0.561,3–7,3,10,52.8,52.2,28.4,38.2,16.1,20,29.1,32.2,68.6,53.9,54.9,34.1,31.4,11.7,9.7,45.9,45,38.5,34.6,66.841,76.748,79.116,1.404,"2,026",0,0,0.2,,68.4,70.1,1.086,1.058,16.861,Wright St.
143,Marquette,106.746,104.565,0.559,5–8,5,13,47.6,51.8,35.6,32.6,15.3,19.8,32.1,30.4,71.9,49,51.6,30.5,34.8,7.7,9,57.9,59.5,42.2,38.2,71.722,77.709,81.473,1.495,"2,026",0,0,57.109,,70.6,76.5,1.05,1.055,24.333,Marquette
144,Duquesne,110.093,107.969,0.556,5–5,5,10,54.9,51.2,40.6,44.7,20,17.6,31.1,30.2,73.4,59.8,50.4,32.3,34.9,7.8,8.9,55.6,51.5,43.3,39.3,73.251,77.598,80.562,2.502,"2,026",0,0,9.791,,69.7,75.4,1.101,1.081,17.524,Duquesne
145,Sam Houston St.,110.304,108.31,0.552,5–4,5,9,51,52.2,33.7,43.8,16.9,17.5,37.8,32.7,73.1,49.3,58.2,35.8,29.9,9.4,6.6,47.6,48.4,40.1,45.1,72.334,76.399,79.446,1.753,"2,026",0,0,18.81,,76.4,68.4,1.124,1.105,23.289,Sam Houston St.
146,Boston College,102.923,101.155,0.55,5–6,5,11,46.4,45.1,35.8,33.9,15.2,15.2,31.3,28.3,66.2,50.1,46.9,27.9,27.9,14,11.8,46.6,43.4,44.7,34.8,67.102,77.723,81.303,1.691,"2,026",0,0,55.448,,69.8,66.4,1.025,0.983,10.848,Boston College
